BUKRS,BELNR,GJAHR,BLART,BUDAT,WAERS,BKTXT,USNAM,TCODE,CPUDT,CPUTM,XBLNR,AWKEY,XREVERSED
1000,1000000001,2024,K1,2024-01-15,USD,Customer Invoice - Global Corp,SMITH,F-22,2024-01-15,09:30:15,INV-2024-001,2024011510001000000001,
1000,1000000002,2024,S1,2024-01-16,USD,Vendor Invoice - ABC Supplies,SMITH,F-43,2024-01-16,10:15:22,PO-2024-001,2024011610001000000002,
1000,1000000003,2024,K2,2024-01-17,USD,Customer Payment - Global Corp,SMITH,F-28,2024-01-17,14:20:33,PAY-2024-001,2024011710001000000003,
1000,1000000004,2024,S2,2024-01-18,USD,Vendor Payment - ABC Supplies,SMITH,F-53,2024-01-18,16:45:12,PAY-2024-002,2024011810001000000004,
1000,1000000005,2024,K1,2024-01-19,USD,Customer Invoice - Local Business,SMITH,F-22,2024-01-19,11:30:45,INV-2024-002,2024011910001000000005,
1000,1000000006,2024,G1,2024-01-20,USD,Journal Entry - Depreciation,SMITH,FB50,2024-01-20,08:15:30,,2024012010001000000006,
1000,1000000007,2024,S1,2024-01-21,USD,Vendor Invoice - Tech Solutions,SMITH,F-43,2024-01-21,13:45:18,PO-2024-002,2024012110001000000007,
1000,1000000008,2024,K2,2024-01-22,USD,Customer Payment - Local Business,SMITH,F-28,2024-01-22,15:20:55,PAY-2024-003,2024012210001000000008,
1000,1000000009,2024,G1,2024-01-23,USD,Journal Entry - Accruals,SMITH,FB50,2024-01-23,09:30:12,,2024012310001000000009,
1000,1000000010,2024,S2,2024-01-24,USD,Vendor Payment - Tech Solutions,SMITH,F-53,2024-01-24,16:10:33,PAY-2024-004,2024012410001000000010,
1000,1000000011,2024,K1,2024-01-25,USD,Customer Invoice - Startup Inc,SMITH,F-22,2024-01-25,10:45:27,INV-2024-003,2024012510001000000011,
1000,1000000012,2024,G1,2024-01-26,USD,Journal Entry - Reversals,SMITH,FB50,2024-01-26,14:15:42,,2024012610001000000012,
1000,1000000013,2024,S1,2024-01-27,USD,Vendor Invoice - XYZ Manufacturing,SMITH,F-43,2024-01-27,11:20:15,PO-2024-003,2024012710001000000013,
1000,1000000014,2024,K2,2024-01-28,USD,Customer Payment - Startup Inc,SMITH,F-28,2024-01-28,15:35:28,PAY-2024-005,2024012810001000000014,
1000,1000000015,2024,G1,2024-01-29,USD,Journal Entry - Adjustments,SMITH,FB50,2024-01-29,08:50:19,,2024012910001000000015
# Q2 2024 Large Vendor Payments
1000,1000000020,2024,S2,2024-04-15,USD,Vendor Payment - Big Vendor A,SMITH,F-53,2024-04-15,10:00:00,PAY-2024-100,2024041510001000000020,
1000,1000000021,2024,S2,2024-05-20,USD,Vendor Payment - Big Vendor B,SMITH,F-53,2024-05-20,11:00:00,PAY-2024-101,2024052010001000000021,
1000,1000000022,2024,S2,2024-06-10,USD,Vendor Payment - Big Vendor C,SMITH,F-53,2024-06-10,12:00:00,PAY-2024-102,2024061010001000000022,
# Budget/Actual for Cost Center
1000,1000000030,2024,G1,2024-04-01,USD,Budget Entry - Cost Center 1,SMITH,FB50,2024-04-01,09:00:00,,2024040110001000000030,
1000,1000000031,2024,G1,2024-05-01,USD,Budget Entry - Cost Center 1,SMITH,FB50,2024-05-01,09:00:00,,2024050110001000000031,
1000,1000000032,2024,G1,2024-06-01,USD,Budget Entry - Cost Center 1,SMITH,FB50,2024-06-01,09:00:00,,2024060110001000000032,
1000,1000000033,2024,G1,2024-06-15,USD,Actual Entry - Cost Center 1,SMITH,FB50,2024-06-15,09:00:00,,2024061510001000000033,
1000,1000000034,2024,G1,2024-04-10,USD,Budget Entry - Cost Center 2,SMITH,FB50,2024-04-10,09:00:00,,2024041010001000000034,
1000,1000000035,2024,G1,2024-05-10,USD,Budget Entry - Cost Center 2,SMITH,FB50,2024-05-10,09:00:00,,2024051010001000000035,
1000,1000000036,2024,G1,2024-06-10,USD,Actual Entry - Cost Center 2,SMITH,FB50,2024-06-10,09:00:00,,2024061010001000000036, 
