BUKRS,BELNR,GJAHR,BUZEI,KOART,KONTO,SHKZG,DMBTR,WRBTR,LIFNR,KUNNR,KOSTL,AUFNR,PROJN,PSPNR,SAKNR,ZUONR,SGTXT,VALUT,ZFBDT,ZTERM,ZLSCH,ZLSPR,MWSKZ,MWSTS,HWBAS,FWBAS,MENGE,MEINS
1000,1000000001,2024,1,D,120000,S,5000.00,5000.00,,C001,CC1001,,,,,,,,2024-01-15,2024-01-15,,,,,,,,
1000,1000000002,2024,1,K,200000,H,2500.00,2500.00,V001,,CC1002,,,,,,,,2024-01-16,2024-01-16,,,,,,,,
1000,1000000003,2024,1,D,120000,H,3000.00,3000.00,,C001,CC1001,,,,,,,,2024-01-17,2024-01-17,,,,,,,,
1000,1000000004,2024,1,K,200000,S,1500.00,1500.00,V002,,CC1002,,,,,,,,2024-01-18,2024-01-18,,,,,,,,
1000,1000000005,2024,1,D,120000,S,7500.00,7500.00,,C002,CC1003,,,,,,,,2024-01-19,2024-01-19,,,,,,,,
1000,1000000006,2024,1,S,500000,S,2000.00,2000.00,,,,,,,,,2024-01-20,2024-01-20,,,,,,,,
1000,1000000007,2024,1,K,200000,H,3500.00,3500.00,V003,,CC1004,,,,,,,,2024-01-21,2024-01-21,,,,,,,,
1000,1000000008,2024,1,D,120000,H,4000.00,4000.00,,C002,CC1003,,,,,,,,2024-01-22,2024-01-22,,,,,,,,
1000,1000000009,2024,1,S,600000,S,1500.00,1500.00,,,,,,,,,2024-01-23,2024-01-23,,,,,,,,
1000,1000000010,2024,1,K,200000,S,2200.00,2200.00,V003,,CC1004,,,,,,,,2024-01-24,2024-01-24,,,,,,,,
1000,1000000011,2024,1,D,120000,S,6000.00,6000.00,,C003,CC1005,,,,,,,,2024-01-25,2024-01-25,,,,,,,,
1000,1000000012,2024,1,S,500000,H,1000.00,1000.00,,,,,,,,,2024-01-26,2024-01-26,,,,,,,,
1000,1000000013,2024,1,K,200000,H,4200.00,4200.00,V004,,CC1006,,,,,,,,2024-01-27,2024-01-27,,,,,,,,
1000,1000000014,2024,1,D,120000,H,5500.00,5500.00,,C003,CC1005,,,,,,,,2024-01-28,2024-01-28,,,,,,,,
1000,1000000015,2024,1,S,600000,H,800.00,800.00,,,,,,,,,2024-01-29,2024-01-29,,,,,,,,
# Q2 2024 Large Vendor Payments
1000,1000000020,2024,1,K,200000,S,60000.00,60000.00,V100, ,CC2001,,,,,,,,2024-04-15,2024-04-15,,,,,,,,
1000,1000000021,2024,1,K,200000,S,75000.00,75000.00,V101, ,CC2002,,,,,,,,2024-05-20,2024-05-20,,,,,,,,
1000,1000000022,2024,1,K,200000,S,120000.00,120000.00,V102, ,CC2003,,,,,,,,2024-06-10,2024-06-10,,,,,,,,
# Budget/Actual for Cost Center
1000,1000000030,2024,1,S,700000,S,40000.00,40000.00,, ,CCBUD1,,,,,,,,2024-04-01,2024-04-01,,,,,,,,
1000,1000000031,2024,1,S,700000,S,42000.00,42000.00,, ,CCBUD1,,,,,,,,2024-05-01,2024-05-01,,,,,,,,
1000,1000000032,2024,1,S,700000,S,41000.00,41000.00,, ,CCBUD1,,,,,,,,2024-06-01,2024-06-01,,,,,,,,
1000,1000000033,2024,1,S,700000,S,39000.00,39000.00,, ,CCBUD1,,,,,,,,2024-06-15,2024-06-15,,,,,,,,
1000,1000000034,2024,1,S,700000,S,45000.00,45000.00,, ,CCBUD2,,,,,,,,2024-04-10,2024-04-10,,,,,,,,
1000,1000000035,2024,1,S,700000,S,47000.00,47000.00,, ,CCBUD2,,,,,,,,2024-05-10,2024-05-10,,,,,,,,
1000,1000000036,2024,1,S,700000,S,46000.00,46000.00,, ,CCBUD2,,,,,,,,2024-06-10,2024-06-10,,,,,,,, 
